Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
bosswireless-prod-mongos-router:120,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-admin-panel:1,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:101,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:120,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:135,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:118,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:100,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:152,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
app/bosswireless-uat-alb/79b13b6d74a59c02,bosswireless-uat-alb,ElasticLoadBalancingV2,LoadBalancer,us-east-1,13,team_boss_wireless
torch20210513141706619200000002/f9622718c10c91f1,bosswireless-uat-torchwood-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
emplo20210520085629797800000002/85d8db906e0615e9,bosswireless-prod-employee-plan-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
admin20210823080704168100000002/f17051ec71018511,bosswireless-prod-admin-panel-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
promo20221125114624626400000001/5a37fe940b523ce8,bosswireless-prod-promo-handler-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
admin20210820121448685600000001/a44814ed6f1d0127,bosswireless-uat-admin-panel-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210512173005763400000002/2be05a1ed2def636,bosswireless-uat-mvno-usage-import-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
brmvn20230830101315044200000001/d54922e1182fdc09,bosswireless-uat-brmvno-next-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
brmvn20230830111228807100000001/a0aa41f3d7d99c85,bosswireless-prod-brmvno-next-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210512190954274700000002/00bdd2390aefc27c,bosswireless-uat-mvno-prc-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210524095333203000000001/5472c6b4a3c31f53,bosswireless-prod-mvno-account-services-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
